[INFO] 2023/11/22 19:04:55: Server check: No server running on port 49155
[INFO] 2023/11/22 19:04:55: Server is running...
[INFO] 2023/11/22 19:04:55: Server successfully started on port 49155
[INFO] 2023/11/22 19:05:13: Client is running...
[INFO] 2023/11/22 19:05:13: Client connected to server on port 49155
[INFO] 2023/11/22 19:05:13: Client successfully connected to server at localhost:49155
[DEBUG] 2023/11/22 19:05:21: handleCellClick: Click event received by user: [SERVER]
[INFO] 2023/11/22 19:05:21: Placing stone at: 6, 9 by player 1
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [4,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [5,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,9] to state: 1
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [6,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [7,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [8,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [9,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [10,9] to state: 0
